SCH_NAME,LCITY,LZIP
Goleta Valley Junior High,Goleta,93117
Harding University Partnership,Santa Barbara,93101
La Colina Junior High,Santa Barbara,93110
La Cuesta Continuation High,Santa Barbara,93101
La Cumbre Junior High,Santa Barbara,93101
Monroe Elementary,Santa Barbara,93109
Roosevelt Elementary,Santa Barbara,93101
San Marcos Senior High,Santa Barbara,93110
Santa Barbara Junior High,Santa Barbara,93103
Santa Barbara Senior High,Santa Barbara,93103
Washington Elementary,Santa Barbara,93109
Santa Barbara Community Academy,Santa Barbara,93101
McKinley Elementary,Santa Barbara,93109
Alta Vista Alternative High,Santa Barbara,93101
Alta Vista Alternative Junior High,Santa Barbara,93101
Santa Barbara Unified Early Childhood,Santa Barbara,93103
American Union Elementary,Fresno,93706
West Fresno Middle,Fresno,93706
West Fresno Elementary,Fresno,93706
Washington High,Fresno,93706
Easton Continuation High,Fresno,93706
Easton Community Day,Fresno,93706
Elm High,Fresno,93706
Francis J. White Learning Center,Woodlake,93286
Woodlake Valley Middle,Woodlake,93286
Woodlake High,Woodlake,93286
Bravo Lake High,Visalia,93292
Woodlake Community Day,Woodlake,93286
Castle Rock Elementary,Woodlake,93286
Fortuna Middle,Fortuna,95540
South Fortuna Elementary,Fortuna,95540
Norman G. Ambrosini Elementary,Fortuna,95540
Toddy Thomas Middle,Fortuna,95540
Barbara Webster Elementary,Santa Paula,93060
Blanchard Elementary,Santa Paula,93060
Glen City Elementary,Santa Paula,93060
Grace Thille Elementary,Santa Paula,93060
Isbell Middle,Santa Paula,93060
McKevett Elementary,Santa Paula,93060
Thelma Bedell Elementary,Santa Paula,93060
Renaissance High,Santa Paula,93060
Santa Paula High,Santa Paula,93060
Pine Grove Youth Conservation Camp,Pine Grove,95665
Johanna Boss High,Stockton,95213
N.A. Chaderjian High,Stockton,95213
Mary B. Perry High,Camarillo,93010
Lincoln Elementary,Exeter,93221
Rocky Hill Elementary,Exeter,93221
Exeter Union High,Exeter,93221
Kaweah High,Exeter,93221
Exeter Independent Study (Alternative),Exeter,93221
Exeter Community Day,Exeter,93221
Wilson Middle,Exeter,93221
Bonsall Elementary,Bonsall,92003
Vivian Banks Charter,Pala,92059
Norman L. Sullivan Middle,Bonsall,92003
Bonsall West Elementary,Oceanside,92057
Bonsall High,Bonsall,92003
Williams Ranch Elementary,Penn Valley,95946
Vantage Point Charter,Penn Valley,95946
Ready Springs Elementary,Penn Valley,95946
Penn Valley Union Special Education Preschool,Penn Valley,95946
Juan De Anza Elementary,Hawthorne,90250
Juan Cabrillo Elementary,Hawthorne,90250
Richard Henry Dana Middle,Hawthorne,90250
Peter Burnett Elementary,Hawthorne,90250
Success Learning Center,Hawthorne,90250
CA Advancing Pathways for Students in Los Angeles Co,Bellflower,90706
Upper Lake Elementary,Upper Lake,95485
Clover Valley High (Continuation),Upper Lake,95485
Upper Lake High,Upper Lake,95485
Upper Lake Middle,Upper Lake,95485
Upper Lake Community Day,Upper Lake,95485
Magnolia Science Academy Santa Ana,Santa Ana,92703
River Valley Charter,Lakeside,92040
Vista Springs Charter,Vista,92084
Community Montessori,Escondido,92026
Oakland Charter High,Oakland,94601
Girls Athletic Leadership School Los Angeles,Panorama City,91402
Pacific Community Charter,Point Arena,95468
America's Finest Charter,San Diego,92102
Sycamore Valley Academy,Visalia,93277
Crete Academy,Los Angeles,90043
Accelerated Charter Elementary,Los Angeles,90037
